Ecrire c'est une façon de parler sans être interrompu; - Jules Renard;
Une fois qu’on a passé les bornes, il n’y a plus de limites.; - Alphonse Allais 
« Le hasard a des intuitions qu’il ne faut pas prendre pour des coïncidences. »; Chris Marker
